"Quadrat","Treatment","Canopy","Veg","Interval","DateSet","DateColl","Agonum ferreum","Agonum fidele","Agonum retractum","Aharrisii","Anisodactylus nigerrimus","Anisodactylus melanopus","Amphasia interstitialis","Carabus goryi","Chlaenius emarginatus","Chlaenius laticollis","Cyclotrachelus convivus","Cyclotrachelus fucatus","Cyclotrachelus sigillatus","Dicaelus politus","Dicaelus teter","Harpalus spadiceus","Notiobia nitidipennis","Notiophilus aeneus","Olisthopus parmatus","Sphaeroderus canadensis","Sphaeroderus lecontei","Scaphinotus viduus","Platynus angustatus","Platynus tenuicollis","Pseudamara arenaria","Pterostichus adoxus","Pterostichus corvinus","Pterostichus diligendus","Pterostichus lachrymosus","Pterostichus melanarius","Pterostichus moestus","Pterostichus mutus","Pterostichus coracinus","Pterostichus stygicus","Pterostichus tristis","Pterostichus rostratus","Trichotichnus autumnalis"
48,"Forest",0,0,6,2015-08-05,2015-08-17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
49,"BS",1,1,6,2015-08-05,2015-08-17,0,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
50,"Forest",0,0,6,2015-08-05,2015-08-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"B",1,0,6,2015-08-05,2015-08-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,"Forest",0,0,6,2015-08-05,2015-08-17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
53,"BS",1,1,6,2015-08-05,2015-08-17,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
54,"Forest",0,0,6,2015-08-05,2015-08-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"B",1,0,6,2015-08-05,2015-08-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
56,"Forest",0,0,6,2015-08-05,2015-08-17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
57,"B",1,0,6,2015-08-05,2015-08-17,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,0,4,0,0,0,0,0,0
58,"Forest",0,0,6,2015-08-05,2015-08-17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"BS",1,1,6,2015-08-05,2015-08-17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,"Forest",0,0,6,2015-08-05,2015-08-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0
61,"BS",1,1,6,2015-08-05,2015-08-17,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,"Forest",0,0,6,2015-08-05,2015-08-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"Forest",0,0,6,2015-08-05,2015-08-17,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,"B",1,0,6,2015-08-05,2015-08-17,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
